Hybridization REF	TCGA-19-5960-01A-11H-1701-07
Composite Element REF	unc_DWD_Batch_adjusted
ebv-miR-BART1-3p	5.7037997693436
ebv-miR-BART1-5p	5.74130462576412
ebv-miR-BART10	6.46976954061377
ebv-miR-BART11-3p	6.00626850512743
ebv-miR-BART11-5p	5.72862867065805
ebv-miR-BART12	6.79588858083147
ebv-miR-BART13	7.46018572991984
ebv-miR-BART14-3p	5.73280089075973
ebv-miR-BART14-5p	5.72123205487251
ebv-miR-BART15	5.65588769014131
ebv-miR-BART16	6.92027223491264
ebv-miR-BART17-3p	5.84668848329729
ebv-miR-BART17-5p	5.7374267996889
ebv-miR-BART18	5.71009587057156
ebv-miR-BART19	6.3625003225893
ebv-miR-BART2	5.95881269164799
ebv-miR-BART20-3p	5.70693979434019
ebv-miR-BART20-5p	5.69143615068225
ebv-miR-BART3-3p	5.69832902831133
ebv-miR-BART3-5p	6.0974940537309
ebv-miR-BART4	6.16654398241213
ebv-miR-BART5	5.74088122048945
ebv-miR-BART6-3p	5.70155515752444
ebv-miR-BART6-5p	5.68019994725097
ebv-miR-BART7	6.19703335565411
ebv-miR-BART8-3p	5.90958947804927
ebv-miR-BART8-5p	5.62752790666318
ebv-miR-BART9	5.74098863118249
ebv-miR-BHRF1-1	5.86283792032595
ebv-miR-BHRF1-2	5.69692072958705
ebv-miR-BHRF1-2*	5.71320294950442
ebv-miR-BHRF1-3	5.66868790076843
hcmv-miR-UL112	5.68096175985477
hcmv-miR-UL148D	6.47345330160759
hcmv-miR-UL22A	5.81959551828993
hcmv-miR-UL22A*	5.66716973845882
hcmv-miR-UL36	6.35212770227959
hcmv-miR-UL70-3p	6.52021678299356
hcmv-miR-UL70-5p	5.67294586003984
hcmv-miR-US25-1	5.94618837939085
hcmv-miR-US25-2-3p	5.68469263491739
hcmv-miR-US25-2-5p	6.09240793145873
hcmv-miR-US33	6.3431567409785
hcmv-miR-US4	6.34111416048351
hcmv-miR-US5-1	5.80949671722962
hcmv-miR-US5-2	5.66959914309083
hsa-let-7a	14.6858939066672
hsa-let-7b	13.3724904348529
hsa-let-7c	14.0344322964242
hsa-let-7d	11.3792385005363
hsa-let-7e	11.6397786954692
hsa-let-7f	12.8173327218426
hsa-let-7g	11.2821354824771
hsa-let-7i	10.1760188772881
hsa-miR-1	5.66700234306789
hsa-miR-100	12.1204881279779
hsa-miR-101	10.6736692327263
hsa-miR-103	10.6143750257622
hsa-miR-105	5.70821145186953
hsa-miR-106a	11.3671753401316
hsa-miR-106b	11.8811393863422
hsa-miR-107	10.6792968805609
hsa-miR-10a	9.50257594926955
hsa-miR-10b	10.1275530042311
hsa-miR-122a	6.05021101913013
hsa-miR-124a	10.2293901946037
hsa-miR-125a	10.6401280543499
hsa-miR-125b	14.4713306526591
hsa-miR-126	10.0925043514234
hsa-miR-126*	6.42510950230388
hsa-miR-127	7.76302134446597
hsa-miR-128a	7.49614273177494
hsa-miR-128b	7.9349294879372
hsa-miR-129	6.89052446126516
hsa-miR-130a	10.7965886847811
hsa-miR-130b	8.88750104175064
hsa-miR-132	8.39808806771601
hsa-miR-133a	5.86349347537322
hsa-miR-133b	5.9395824077261
hsa-miR-134	6.21006371845074
