Hybridization REF	TCGA-06-0646-01A-01T-0309-07
Composite Element REF	unc_DWD_Batch_adjusted
ebv-miR-BART1-3p	5.824447037818
ebv-miR-BART1-5p	5.72621479354931
ebv-miR-BART10	5.7473979864476
ebv-miR-BART11-3p	6.28083231830005
ebv-miR-BART11-5p	5.70222585288386
ebv-miR-BART12	5.7249849905153
ebv-miR-BART13	7.70433489196228
ebv-miR-BART14-3p	5.70712180868071
ebv-miR-BART14-5p	5.82622412614116
ebv-miR-BART15	5.75961503366255
ebv-miR-BART16	5.83575363282299
ebv-miR-BART17-3p	5.93600510241561
ebv-miR-BART17-5p	5.73277514539377
ebv-miR-BART18	5.798313206831
ebv-miR-BART19	5.94075176375831
ebv-miR-BART2	5.87688671167043
ebv-miR-BART20-3p	5.75369155184062
ebv-miR-BART20-5p	5.77628159772584
ebv-miR-BART3-3p	5.69647043013175
ebv-miR-BART3-5p	5.71877769810343
ebv-miR-BART4	5.81022384153202
ebv-miR-BART5	5.77130571069921
ebv-miR-BART6-3p	5.71504609418369
ebv-miR-BART6-5p	5.75808513395079
ebv-miR-BART7	6.38512493259072
ebv-miR-BART8-3p	5.75684784209767
ebv-miR-BART8-5p	5.73449970730864
ebv-miR-BART9	5.72622038581543
ebv-miR-BHRF1-1	5.90157286659146
ebv-miR-BHRF1-2	5.66490015267939
ebv-miR-BHRF1-2*	5.73856129938974
ebv-miR-BHRF1-3	5.676351620751
hcmv-miR-UL112	5.73100946529136
hcmv-miR-UL148D	6.17517920118419
hcmv-miR-UL22A	5.8638452008213
hcmv-miR-UL22A*	5.67709089014007
hcmv-miR-UL36	6.33795604789367
hcmv-miR-UL70-3p	7.71515021844638
hcmv-miR-UL70-5p	5.70629573219333
hcmv-miR-US25-1	6.06773491616338
hcmv-miR-US25-2-3p	5.70746395967337
hcmv-miR-US25-2-5p	5.95600212488918
hcmv-miR-US33	6.70929045335614
hcmv-miR-US4	6.60986508954039
hcmv-miR-US5-1	5.78722204838119
