Hybridization REF	TCGA-02-0055-01A-01T-0179-07
Composite Element REF	unc_DWD_Batch_adjusted
ebv-miR-BART1-3p	5.77379083460102
ebv-miR-BART1-5p	5.80778562485522
ebv-miR-BART10	5.79518510100254
ebv-miR-BART11-3p	5.93240197460374
ebv-miR-BART11-5p	5.76869065594755
ebv-miR-BART12	5.79935794340533
ebv-miR-BART13	8.24379033599668
ebv-miR-BART14-3p	5.8051407764397
ebv-miR-BART14-5p	5.76761354430627
ebv-miR-BART15	5.79924258220916
ebv-miR-BART16	5.88279759994394
ebv-miR-BART17-3p	5.93778230436489
ebv-miR-BART17-5p	5.82402403831282
ebv-miR-BART18	5.75633150324765
ebv-miR-BART19	7.38711412204544
ebv-miR-BART2	5.86751362922298
ebv-miR-BART20-3p	5.7733242465967
ebv-miR-BART20-5p	5.82165094265532
ebv-miR-BART3-3p	5.77331095268947
ebv-miR-BART3-5p	5.7626624534438
ebv-miR-BART4	5.82938617825236
ebv-miR-BART5	5.80235512333800
ebv-miR-BART6-3p	5.7361191177255
ebv-miR-BART6-5p	5.78129113185448
ebv-miR-BART7	6.33037066838651
ebv-miR-BART8-3p	5.99042834696712
ebv-miR-BART8-5p	5.76010849307723
ebv-miR-BART9	5.75371152304561
ebv-miR-BHRF1-1	6.40092759714147
ebv-miR-BHRF1-2	5.74558010322811
ebv-miR-BHRF1-2*	5.83962053433839
ebv-miR-BHRF1-3	5.71982303230475
hcmv-miR-UL112	5.77025026841081
hcmv-miR-UL148D	6.03100029960609
hcmv-miR-UL22A	5.92724182532781
hcmv-miR-UL22A*	5.74729359645253
hcmv-miR-UL36	6.63842890448173
hcmv-miR-UL70-3p	7.97958352668398
hcmv-miR-UL70-5p	5.72064053115453
hcmv-miR-US25-1	5.95083470091487
hcmv-miR-US25-2-3p	5.7650357891511
hcmv-miR-US25-2-5p	6.12098687497287
hcmv-miR-US33	6.55885487185062
hcmv-miR-US4	7.44965870098387
hcmv-miR-US5-1	5.85361872375254
hcmv-miR-US5-2	5.73769184762648
hsa-let-7a	14.0770579593576
hsa-let-7b	14.3244711987623
hsa-let-7c	12.4936388187734
hsa-let-7d	11.3907748751182
hsa-let-7e	11.4183049630611
hsa-let-7f	12.5453784502493
hsa-let-7g	10.9443161246005
hsa-let-7i	9.68146569725855
hsa-miR-1	6.29216601030959
hsa-miR-100	11.0911131155059
hsa-miR-101	9.93007245693318
hsa-miR-103	10.5449407119942
hsa-miR-105	5.75800436534634
hsa-miR-106a	8.95486839893608
hsa-miR-106b	9.81410480448785
hsa-miR-107	10.8795968627743
hsa-miR-10a	8.35477941632949
hsa-miR-10b	6.97988369253996
hsa-miR-122a	5.80429382232003
hsa-miR-124a	10.1031557960745
hsa-miR-125a	10.6416225624146
hsa-miR-125b	12.5133171776175
hsa-miR-126	10.1805834861700
hsa-miR-126*	6.17689733608889
hsa-miR-127	8.69094475689415
hsa-miR-128a	7.19842554443998
hsa-miR-128b	7.65505356839084
hsa-miR-129	6.5400063869912
hsa-miR-130a	10.2632625404127
hsa-miR-130b	7.83323269393536
hsa-miR-132	7.7814419062408
hsa-miR-133a	6.39482426488516
hsa-miR-133b	6.5528639021413
hsa-miR-134	7.27710635688331
hsa-miR-135a	5.47427531455482
hsa-miR-135b	6.0545274949945
hsa-miR-136	8.02251795610018
hsa-miR-137	7.10839373447852
hsa-miR-138	6.39960815856421
hsa-miR-139	6.76059169241045
hsa-miR-140	7.97611261650148
hsa-miR-141	6.08010556002794
hsa-miR-142-3p	9.94263193314181
hsa-miR-142-5p	8.10801860750932
hsa-miR-143	11.7519556800720
hsa-miR-144	7.03892169358656
