Hybridization REF	TCGA-12-0619-01A-01T-0309-07
Composite Element REF	unc_DWD_Batch_adjusted
ebv-miR-BART1-3p	5.74734594633813
ebv-miR-BART1-5p	5.7743782252776
ebv-miR-BART10	5.78783527770143
ebv-miR-BART11-3p	6.07985408974331
ebv-miR-BART11-5p	5.76811593014536
ebv-miR-BART12	5.76467405725470
ebv-miR-BART13	7.57443312128635
ebv-miR-BART14-3p	5.79573463962911
ebv-miR-BART14-5p	5.83489856721024
ebv-miR-BART15	5.75583514930312
ebv-miR-BART16	5.84391289037078
ebv-miR-BART17-3p	5.8158690309482
ebv-miR-BART17-5p	5.82005369320714
ebv-miR-BART18	5.74767565856507
ebv-miR-BART19	5.3947248706793
ebv-miR-BART2	5.78729121335917
ebv-miR-BART20-3p	5.74509429300774
ebv-miR-BART20-5p	5.74685170175027
ebv-miR-BART3-3p	5.72357792916843
ebv-miR-BART3-5p	5.75655878314654
ebv-miR-BART4	5.82154196358736
ebv-miR-BART5	5.75225240207985
ebv-miR-BART6-3p	5.74676200322126
ebv-miR-BART6-5p	5.74871943628679
ebv-miR-BART7	6.2593855302979
ebv-miR-BART8-3p	5.8101351396047
ebv-miR-BART8-5p	5.7507932144761
ebv-miR-BART9	5.75441745264323
ebv-miR-BHRF1-1	5.882644524783
ebv-miR-BHRF1-2	5.74111098554447
ebv-miR-BHRF1-2*	5.79101935406239
ebv-miR-BHRF1-3	5.7447355698439
hcmv-miR-UL112	5.77986282875242
hcmv-miR-UL148D	6.10572325445984
hcmv-miR-UL22A	5.87471767183638
hcmv-miR-UL22A*	5.70668573656298
hcmv-miR-UL36	6.5110608746632
hcmv-miR-UL70-3p	7.35268089155926
hcmv-miR-UL70-5p	5.73743959506175
hcmv-miR-US25-1	5.91748556350977
hcmv-miR-US25-2-3p	5.80650295329961
hcmv-miR-US25-2-5p	6.0145455392329
hcmv-miR-US33	6.53040025854155
hcmv-miR-US4	6.16459460222482
hcmv-miR-US5-1	5.89817427902145
hcmv-miR-US5-2	5.75219134852161
hsa-let-7a	14.2914253280548
hsa-let-7b	14.2882527376680
hsa-let-7c	13.1850738988134
hsa-let-7d	11.9040268327144
hsa-let-7e	11.9994166983273
hsa-let-7f	12.9180620991432
hsa-let-7g	11.4805824229233
hsa-let-7i	10.5475850433784
hsa-miR-1	5.87563077661473
hsa-miR-100	10.9036947617527
hsa-miR-101	10.7219015529562
hsa-miR-103	10.8498734504092
hsa-miR-105	5.75776019504548
hsa-miR-106a	10.9489571060546
hsa-miR-106b	11.5123456320116
hsa-miR-107	11.0373156686622
hsa-miR-10a	8.00507174967802
hsa-miR-10b	8.64852066679379
hsa-miR-122a	5.82144283679016
hsa-miR-124a	7.01904927070266
hsa-miR-125a	11.0446254442858
hsa-miR-125b	13.1017504967143
hsa-miR-126	11.7071858227765
hsa-miR-126*	6.76008344603879
hsa-miR-127	7.98331450920458
hsa-miR-128a	6.7231975222033
hsa-miR-128b	6.89485180838329
hsa-miR-129	6.23125201441726
hsa-miR-130a	10.7905875428309
hsa-miR-130b	8.43423393770453
hsa-miR-132	7.50039603878867
hsa-miR-133a	6.05716833743594
hsa-miR-133b	6.11850852474192
hsa-miR-134	6.60971066032345
hsa-miR-135a	7.63838506307625
hsa-miR-135b	6.07359352223121
hsa-miR-136	7.85136712600387
hsa-miR-137	6.48973963571642
hsa-miR-138	6.08482264989952
hsa-miR-139	6.42074187590838
hsa-miR-140	8.42631873957589
hsa-miR-141	6.16743476008116
hsa-miR-142-3p	10.0505938210506
hsa-miR-142-5p	8.44095792684569
hsa-miR-143	9.83844184654151
hsa-miR-144	8.65281035664597
hsa-miR-145	10.4532476853149
hsa-miR-146a	6.92627039804314
hsa-miR-146b	8.36299164671601
hsa-miR-147	5.77292132533273
hsa-miR-148a	8.9765312531355
hsa-miR-148b	7.45193451526015
hsa-miR-149	9.0648675022187
hsa-miR-150	6.34010620117883
hsa-miR-151	7.7939615388088
hsa-miR-152	8.92920656765976
hsa-miR-153	5.82461869993597
hsa-miR-154	6.31493822988861
hsa-miR-154*	6.25511011249513
hsa-miR-155	8.69025393234771
hsa-miR-15a	9.73327487114302
hsa-miR-15b	11.9106512480804
hsa-miR-16	11.9943658027625
hsa-miR-17-3p	8.50247289158613
hsa-miR-17-5p	10.0534326425533
hsa-miR-181a	9.72683026653772
hsa-miR-181a*	7.00374232613666
hsa-miR-181b	9.32741474287793
hsa-miR-181c	8.05700950926638
hsa-miR-181d	8.19484388842878
hsa-miR-182	7.72471784642308
hsa-miR-182*	5.91615240742622
hsa-miR-183	6.3474318096599
hsa-miR-184	6.17202773590872
hsa-miR-185	9.15664114700099
hsa-miR-186	8.20608311441617
hsa-miR-187	6.03657948652325
hsa-miR-188	6.98365530762557
hsa-miR-189	6.10464248340194
hsa-miR-18a	8.77484884447798
hsa-miR-18a*	5.93275030148565
hsa-miR-18b	6.56816399047533
hsa-miR-190	5.96706405895767
hsa-miR-191	7.79083063849254
hsa-miR-191*	6.04640082411233
hsa-miR-192	7.08286394499863
hsa-miR-193a	8.21029898316723
hsa-miR-193b	9.40752483928957
hsa-miR-194	6.83558090497046
hsa-miR-195	11.1505044697748
hsa-miR-196a	6.36126776483416
hsa-miR-196b	6.27546806414262
hsa-miR-197	8.20790135339691
hsa-miR-198	6.76539961097565
hsa-miR-199a	7.34916052449416
hsa-miR-199a*	8.21358590359413
hsa-miR-199b	6.52769419820184
hsa-miR-19a	10.1441596802943
hsa-miR-19b	11.6277089089121
hsa-miR-200a	6.35891057396497
hsa-miR-200a*	6.22281929710052
hsa-miR-200b	6.21861029515079
hsa-miR-200c	6.22410819897017
hsa-miR-202	8.01375025890678
hsa-miR-202*	5.75344636907783
hsa-miR-203	5.88172267184934
hsa-miR-204	9.30507021517138
hsa-miR-205	6.03547977425987
hsa-miR-206	5.98245706855982
hsa-miR-208	5.72350992631555
hsa-miR-20a	11.1386094238574
hsa-miR-20b	9.25429032977664
hsa-miR-21	15.1737091793597
hsa-miR-210	9.18267717214817
hsa-miR-211	5.84930956777541
hsa-miR-212	8.46646476272812
hsa-miR-214	7.22493748563858
hsa-miR-215	6.37383938151411
hsa-miR-216	5.73495534102892
hsa-miR-217	5.7882365416943
hsa-miR-218	6.2362081241805
hsa-miR-219	7.7642472349934
hsa-miR-22	11.5195078048160
hsa-miR-220	5.79181058336998
hsa-miR-221	7.5106646987282
hsa-miR-222	9.09769565890938
hsa-miR-223	10.3960512990537
hsa-miR-224	5.87472348081396
hsa-miR-23a	10.9622691354402
hsa-miR-23b	10.5750613962557
hsa-miR-24	11.9797898792191
hsa-miR-25	10.5114258815848
hsa-miR-26a	12.1919279254701
hsa-miR-26b	9.544859999641
hsa-miR-27a	11.0127143891536
hsa-miR-27b	9.59853924257576
hsa-miR-28	7.89939589793583
hsa-miR-296	6.68595291680118
hsa-miR-299-3p	6.51312222199729
hsa-miR-299-5p	6.58000283214002
hsa-miR-29a	12.3693707952422
hsa-miR-29b	11.1035735788357
hsa-miR-29c	10.2098781937864
hsa-miR-301	9.24281926981584
hsa-miR-302a	5.77039432480989
hsa-miR-302a*	5.75162162096791
hsa-miR-302b	5.73089310152158
hsa-miR-302b*	5.74790775588454
hsa-miR-302c	5.7769794887781
hsa-miR-302c*	6.16684510562972
hsa-miR-302d	5.76052094807991
hsa-miR-30a-3p	7.20067188869284
hsa-miR-30a-5p	11.0662228788308
hsa-miR-30b	7.82750528978487
hsa-miR-30c	9.50474895612556
hsa-miR-30d	10.1508600065434
hsa-miR-30e-3p	7.43147771429478
hsa-miR-30e-5p	9.08320894019263
hsa-miR-31	6.69531932763788
hsa-miR-32	7.798920623473
hsa-miR-320	10.4113057843349
hsa-miR-323	6.1857231689556
hsa-miR-324-3p	9.51235915135713
hsa-miR-324-5p	8.06405055459337
hsa-miR-325	5.73319061383137
hsa-miR-326	5.89748500483809
hsa-miR-328	6.27209589590079
hsa-miR-329	6.06453928852744
hsa-miR-33	8.17550495755002
hsa-miR-330	6.23991207242458
hsa-miR-331	9.61412496688344
hsa-miR-335	7.50737987043397
hsa-miR-337	5.81934502106862
hsa-miR-338	7.77583743912346
hsa-miR-339	8.86632787379766
hsa-miR-33b	5.72129739153837
hsa-miR-340	6.56421614410486
hsa-miR-342	9.25441383946854
hsa-miR-345	7.47517869540102
hsa-miR-346	6.03641861541735
hsa-miR-34a	10.8372514435180
hsa-miR-34b	8.46479615617644
hsa-miR-34c	6.44677489833348
hsa-miR-361	9.6253807884692
hsa-miR-362	6.97639400301219
hsa-miR-363	9.19469959864004
hsa-miR-363*	5.74608282032982
hsa-miR-365	7.18213088580746
hsa-miR-367	5.96107031684016
hsa-miR-368	7.0109990070585
hsa-miR-369-3p	5.80983213220196
hsa-miR-369-5p	5.99209394754034
hsa-miR-370	7.74841880478046
hsa-miR-371	5.75766759705543
hsa-miR-372	5.75206042638016
hsa-miR-373	6.00505134301718
hsa-miR-373*	6.3946597221173
hsa-miR-374	9.85391670973036
hsa-miR-375	5.96046888259535
hsa-miR-376a	8.3357265252494
hsa-miR-376a*	5.87433370264637
hsa-miR-376b	6.50127927653985
hsa-miR-377	7.80178360659592
hsa-miR-378	5.91022119831599
hsa-miR-379	7.21901774454202
hsa-miR-380-3p	5.82062903091277
hsa-miR-380-5p	5.76013844620534
hsa-miR-381	6.22452038523367
hsa-miR-382	6.68703665088637
hsa-miR-383	5.88752882369914
hsa-miR-384	5.73164508113702
hsa-miR-409-3p	7.30573050035508
hsa-miR-409-5p	6.09700347905904
hsa-miR-410	6.98238398309222
hsa-miR-411	6.36186708660924
hsa-miR-412	5.72234184452985
hsa-miR-421	6.96537219734008
hsa-miR-422a	6.0486702203608
hsa-miR-422b	7.28369506976142
hsa-miR-423	6.1589138565815
hsa-miR-424	8.27293179540159
hsa-miR-425-3p	6.0105487627112
hsa-miR-425-5p	8.0999095722126
hsa-miR-429	5.879856438732
hsa-miR-431	6.79928585504754
hsa-miR-432	6.85596787355028
hsa-miR-432*	5.77325209020395
hsa-miR-433	5.92494397849316
hsa-miR-448	5.72848835200055
hsa-miR-449	6.14921724426798
hsa-miR-449b	5.87346712290547
hsa-miR-450	6.06933022670528
hsa-miR-451	11.5153100105818
hsa-miR-452	6.69552326876777
hsa-miR-452*	5.82135870030096
hsa-miR-453	5.80828781645187
hsa-miR-454-3p	6.96825919790515
hsa-miR-454-5p	5.8581849673587
hsa-miR-455	6.22746036997911
hsa-miR-483	5.8883247567241
hsa-miR-484	7.10125111012053
hsa-miR-485-3p	6.27075818661702
hsa-miR-485-5p	5.90112207663442
hsa-miR-486	8.43927961086275
hsa-miR-487a	6.95419990481768
hsa-miR-487b	8.57770167777171
hsa-miR-488	6.07728950556147
