Hybridization REF	TCGA-27-1835-01A-01T-0792-07
Composite Element REF	unc_DWD_Batch_adjusted
ebv-miR-BART1-3p	5.79648371428117
ebv-miR-BART1-5p	5.77210539823291
ebv-miR-BART10	5.84526521303246
ebv-miR-BART11-3p	5.98902054793518
ebv-miR-BART11-5p	5.8020252479964
ebv-miR-BART12	5.874668731506
ebv-miR-BART13	8.00083144953992
ebv-miR-BART14-3p	5.79993184564776
ebv-miR-BART14-5p	5.75152422803209
ebv-miR-BART15	5.87827257294944
ebv-miR-BART16	5.90317403666067
ebv-miR-BART17-3p	5.8378800384127
ebv-miR-BART17-5p	5.91061875599906
ebv-miR-BART18	5.80741187097268
ebv-miR-BART19	8.17676015112223
ebv-miR-BART2	5.91416691421249
ebv-miR-BART20-3p	5.7272404871307
ebv-miR-BART20-5p	5.84561814598487
ebv-miR-BART3-3p	5.79161347365883
ebv-miR-BART3-5p	5.78856438174333
ebv-miR-BART4	5.95204851349117
ebv-miR-BART5	5.77920520895091
ebv-miR-BART6-3p	5.78001709394589
ebv-miR-BART6-5p	5.77086631565543
ebv-miR-BART7	6.55291465091612
ebv-miR-BART8-3p	6.1009044457989
ebv-miR-BART8-5p	5.88156943852087
ebv-miR-BART9	5.82061966080919
ebv-miR-BHRF1-1	5.84572077284878
ebv-miR-BHRF1-2	5.78337355144523
ebv-miR-BHRF1-2*	5.88640976118081
ebv-miR-BHRF1-3	5.79963515147735
hcmv-miR-UL112	5.90135718551299
hcmv-miR-UL148D	6.22510903601305
hcmv-miR-UL22A	5.89315977545647
hcmv-miR-UL22A*	5.84044112726115
hcmv-miR-UL36	6.52661733588924
hcmv-miR-UL70-3p	7.10826742720415
hcmv-miR-UL70-5p	5.83340708238494
hcmv-miR-US25-1	5.95026641087128
hcmv-miR-US25-2-3p	5.76557035628900
hcmv-miR-US25-2-5p	6.06088694647059
hcmv-miR-US33	6.6723038762981
hcmv-miR-US4	6.47972251877535
hcmv-miR-US5-1	5.90207425618865
hcmv-miR-US5-2	5.80957836090766
hsa-let-7a	13.9400497896077
hsa-let-7b	13.7384208695916
hsa-let-7c	12.6882912509236
hsa-let-7d	11.5907498514982
hsa-let-7e	11.8666058330678
hsa-let-7f	12.7424800600622
hsa-let-7g	11.6938185204397
hsa-let-7i	11.0594411576278
hsa-miR-1	5.82919578664197
hsa-miR-100	10.4861724214501
hsa-miR-101	10.6236618069778
hsa-miR-103	11.1102980793332
hsa-miR-105	5.86239363101581
hsa-miR-106a	9.9420164750637
hsa-miR-106b	10.4955612911502
hsa-miR-107	11.0306226385428
hsa-miR-10a	6.82108746485308
hsa-miR-10b	9.51793365336734
hsa-miR-122a	5.90542119691533
hsa-miR-124a	7.26721438857977
hsa-miR-125a	11.2240339376439
hsa-miR-125b	13.5851131859817
