Hybridization REF	TCGA-06-5417-01A-01T-1485-07
Composite Element REF	unc_DWD_Batch_adjusted
ebv-miR-BART1-3p	5.79248130486288
ebv-miR-BART1-5p	5.76597752229306
ebv-miR-BART10	5.97980145057532
ebv-miR-BART11-3p	6.00998924724266
ebv-miR-BART11-5p	5.70393785036085
ebv-miR-BART12	6.18708335058872
ebv-miR-BART13	7.67524584445846
ebv-miR-BART14-3p	5.83464262022169
ebv-miR-BART14-5p	5.79521846603942
ebv-miR-BART15	5.75351697909109
ebv-miR-BART16	6.68100641529231
ebv-miR-BART17-3p	5.87907009269544
ebv-miR-BART17-5p	5.79474001133946
ebv-miR-BART18	5.82430061373099
ebv-miR-BART19	6.46420395513686
ebv-miR-BART2	6.04588712991982
ebv-miR-BART20-3p	5.71735735794971
ebv-miR-BART20-5p	5.76325968317971
ebv-miR-BART3-3p	5.74782838216212
ebv-miR-BART3-5p	5.89946585145606
ebv-miR-BART4	5.93960854844192
ebv-miR-BART5	6.10720504851821
ebv-miR-BART6-3p	5.73471925137956
ebv-miR-BART6-5p	5.74161383683822
ebv-miR-BART7	6.29969205000856
ebv-miR-BART8-3p	5.94425733215995
ebv-miR-BART8-5p	5.73521251878365
ebv-miR-BART9	5.75115015379448
ebv-miR-BHRF1-1	5.91854211996447
ebv-miR-BHRF1-2	5.74950343652344
ebv-miR-BHRF1-2*	5.79016194816917
ebv-miR-BHRF1-3	5.75467133987891
hcmv-miR-UL112	5.84045193466899
hcmv-miR-UL148D	6.6188650710059
hcmv-miR-UL22A	6.51181740763486
hcmv-miR-UL22A*	5.7430407741442
hcmv-miR-UL36	6.46712011512073
hcmv-miR-UL70-3p	8.7626435404444
hcmv-miR-UL70-5p	5.74078552252157
hcmv-miR-US25-1	6.00992345799102
hcmv-miR-US25-2-3p	5.75957790443062
hcmv-miR-US25-2-5p	5.98509165787144
hcmv-miR-US33	6.4660303569376
hcmv-miR-US4	7.03658297543792
hcmv-miR-US5-1	5.82923627183602
hcmv-miR-US5-2	5.70472058674392
hsa-let-7a	14.4199711039903
hsa-let-7b	13.9152481253298
hsa-let-7c	12.7866329389639
hsa-let-7d	12.2306843617903
hsa-let-7e	11.4945539922076
hsa-let-7f	13.0698498971402
hsa-let-7g	11.8806152692946
hsa-let-7i	12.4863501850781
hsa-miR-1	7.12814268263197
hsa-miR-100	11.6170981909504
hsa-miR-101	11.1603948866251
hsa-miR-103	10.9358706971859
hsa-miR-105	5.81248207312872
hsa-miR-106a	10.196100712826
hsa-miR-106b	11.0762308321820
hsa-miR-107	11.2801864908745
hsa-miR-10a	6.3944243225267
hsa-miR-10b	10.0013119799695
hsa-miR-122a	5.8697717172863
hsa-miR-124a	8.11244177698936
hsa-miR-125a	10.5929039345062
hsa-miR-125b	13.3177847036545
hsa-miR-126	11.6279596897040
hsa-miR-126*	6.56702055398059
hsa-miR-127	7.25709743982874
hsa-miR-128a	8.25043008905268
hsa-miR-128b	8.72093621784878
hsa-miR-129	5.91108889185344
hsa-miR-130a	10.2544243615841
hsa-miR-130b	8.4962373796878
hsa-miR-132	7.86864029448208
hsa-miR-133a	6.9951397534393
hsa-miR-133b	7.16283614422203
hsa-miR-134	6.1037594360379
hsa-miR-135a	6.85382899576141
hsa-miR-135b	5.98137389907086
hsa-miR-136	6.57555307209653
hsa-miR-137	5.45905500139989
hsa-miR-138	6.9499488154873
hsa-miR-139	8.16172960748764
hsa-miR-140	9.84666015959355
hsa-miR-141	6.09232663165201
hsa-miR-142-3p	8.44913428034635
hsa-miR-142-5p	7.20022480484106
hsa-miR-143	9.26958380665263
hsa-miR-144	6.77355497561939
hsa-miR-145	9.89759033241606
hsa-miR-146a	6.93835115793868
hsa-miR-146b	7.4521788506886
hsa-miR-147	5.84083676060116
hsa-miR-148a	5.45187828139586
hsa-miR-148b	7.63547487253634
hsa-miR-149	8.86973603353695
hsa-miR-150	6.29334972104878
hsa-miR-151	7.94475321651846
hsa-miR-152	7.44414701876734
hsa-miR-153	5.92244985016135
hsa-miR-154	5.96457133066329
hsa-miR-154*	5.76146596109575
hsa-miR-155	7.29022266010522
hsa-miR-15a	9.6694598790801
hsa-miR-15b	11.6896998793361
hsa-miR-16	11.3895757714043
hsa-miR-17-3p	7.96567628662181
hsa-miR-17-5p	9.56835065324805
hsa-miR-181a	10.0140792161654
hsa-miR-181a*	7.19005571107347
hsa-miR-181b	10.1999979619725
hsa-miR-181c	8.99208209524538
hsa-miR-181d	9.55661818079474
hsa-miR-182	9.44969588834265
hsa-miR-182*	5.88269377948711
hsa-miR-183	7.64827857986521
hsa-miR-184	6.43533942888892
hsa-miR-185	8.472779711316
hsa-miR-186	7.7004391875267
hsa-miR-187	5.9603788274099
hsa-miR-188	7.44765667191751
hsa-miR-189	6.03777732421524
hsa-miR-18a	7.78258539509235
hsa-miR-18a*	5.95782091128864
hsa-miR-18b	5.94356215957826
hsa-miR-190	5.8923563222153
hsa-miR-191	7.55840091981325
hsa-miR-191*	6.15294998925205
hsa-miR-192	6.97783296012854
hsa-miR-193a	6.30598315311989
hsa-miR-193b	8.79336654491982
hsa-miR-194	6.39516420528945
hsa-miR-195	12.1169191094658
hsa-miR-196a	5.21366056581094
hsa-miR-196b	6.87775658844744
hsa-miR-197	9.33794292585243
hsa-miR-198	7.44301856458477
hsa-miR-199a	6.5005465889432
hsa-miR-199a*	7.17325065883359
hsa-miR-199b	5.67291017737506
hsa-miR-19a	9.34438205447879
hsa-miR-19b	10.5109586705875
hsa-miR-200a	5.71285062612255
hsa-miR-200a*	6.76363856989923
hsa-miR-200b	5.700358690075
hsa-miR-200c	6.10315007849156
hsa-miR-202	8.2682922599523
hsa-miR-202*	5.7384920494973
hsa-miR-203	5.93996315154225
hsa-miR-204	6.65886120077036
hsa-miR-205	6.18008080799414
hsa-miR-206	6.22776465678901
hsa-miR-208	5.71351126155372
hsa-miR-20a	10.7551465344248
hsa-miR-20b	8.37614116389825
hsa-miR-21	11.6308631134629
hsa-miR-210	8.53222038664661
hsa-miR-211	5.90831262563427
hsa-miR-212	8.49256130379372
