Hybridization REF	TCGA-28-1753-01A-01T-0792-07
Composite Element REF	unc_DWD_Batch_adjusted
ebv-miR-BART1-3p	5.76813381277654
ebv-miR-BART1-5p	5.76288147574036
ebv-miR-BART10	5.80263132703838
ebv-miR-BART11-3p	6.00972006261473
ebv-miR-BART11-5p	5.71568170747501
ebv-miR-BART12	5.79542692916493
ebv-miR-BART13	8.07922607092461
ebv-miR-BART14-3p	5.76971037832227
ebv-miR-BART14-5p	5.78373515219478
ebv-miR-BART15	5.76218346187728
ebv-miR-BART16	5.78097411398295
ebv-miR-BART17-3p	5.82183627989996
ebv-miR-BART17-5p	5.8256569488317
ebv-miR-BART18	5.73689475214257
ebv-miR-BART19	7.10788962513341
ebv-miR-BART2	5.79635550779319
ebv-miR-BART20-3p	5.72073449300472
ebv-miR-BART20-5p	5.74849301058895
ebv-miR-BART3-3p	5.71656578851822
ebv-miR-BART3-5p	5.78565592508513
ebv-miR-BART4	5.84743103105073
ebv-miR-BART5	5.76959647167341
ebv-miR-BART6-3p	5.71533053924838
ebv-miR-BART6-5p	5.76011815371219
ebv-miR-BART7	6.40000735851069
ebv-miR-BART8-3p	5.97109964409262
ebv-miR-BART8-5p	5.75114646855626
ebv-miR-BART9	5.7623080207964
ebv-miR-BHRF1-1	5.90412271031612
ebv-miR-BHRF1-2	5.76297757988717
ebv-miR-BHRF1-2*	5.80103069246141
ebv-miR-BHRF1-3	5.74761307290204
hcmv-miR-UL112	5.77976305029022
hcmv-miR-UL148D	5.86501487057934
hcmv-miR-UL22A	5.8650215372291
hcmv-miR-UL22A*	5.72649943302148
hcmv-miR-UL36	6.30771125109278
hcmv-miR-UL70-3p	8.06458932056982
hcmv-miR-UL70-5p	5.73453742305264
hcmv-miR-US25-1	5.95028780637796
hcmv-miR-US25-2-3p	5.78196502203983
hcmv-miR-US25-2-5p	5.97207866893662
hcmv-miR-US33	6.36701866919603
hcmv-miR-US4	6.78045681369809
hcmv-miR-US5-1	5.88507264862385
hcmv-miR-US5-2	5.71258598265559
hsa-let-7a	14.2119093891085
hsa-let-7b	14.3950464230820
hsa-let-7c	12.5394689576675
hsa-let-7d	11.5306690273931
hsa-let-7e	11.8309013881432
hsa-let-7f	12.5658188948782
hsa-let-7g	11.0255546301518
hsa-let-7i	10.3140797229077
hsa-miR-1	5.81157591688012
hsa-miR-100	10.4742936752129
hsa-miR-101	9.84205719273853
hsa-miR-103	10.8994837880067
hsa-miR-105	5.77439412081696
hsa-miR-106a	10.2436110972706
hsa-miR-106b	10.8440797195988
hsa-miR-107	10.8080285286773
hsa-miR-10a	7.4584246904496
hsa-miR-10b	9.52032473440848
hsa-miR-122a	5.78305340890865
hsa-miR-124a	9.3170260321201
hsa-miR-125a	10.9189250316851
hsa-miR-125b	12.8541347661013
hsa-miR-126	12.2837506082094
hsa-miR-126*	7.08433417347232
hsa-miR-127	8.11067496771491
hsa-miR-128a	6.86579492846283
hsa-miR-128b	7.28787287220709
hsa-miR-129	6.15834738004184
hsa-miR-130a	10.4550845706480
hsa-miR-130b	8.75021318928629
hsa-miR-132	7.50929034151025
hsa-miR-133a	6.05808577351595
hsa-miR-133b	6.0599989930809
hsa-miR-134	7.07922539242132
hsa-miR-135a	6.52735166703557
hsa-miR-135b	6.58163457882435
hsa-miR-136	7.6454922777626
hsa-miR-137	6.5231610486562
hsa-miR-138	6.25219759314063
hsa-miR-139	6.35049984028815
hsa-miR-140	8.21563608755374
hsa-miR-141	6.72144065965036
hsa-miR-142-3p	10.7892288759799
hsa-miR-142-5p	9.0808722555723
hsa-miR-143	10.1864876527832
hsa-miR-144	6.6913846119937
hsa-miR-145	11.2059326552369
hsa-miR-146a	7.42900011629369
hsa-miR-146b	8.9340890034506
hsa-miR-147	5.77584643085847
hsa-miR-148a	8.34850447445285
hsa-miR-148b	7.37704389923637
hsa-miR-149	8.85726666860477
hsa-miR-150	6.54028567287671
hsa-miR-151	7.81228375483544
hsa-miR-152	7.74372271294059
hsa-miR-153	5.89666012008703
hsa-miR-154	6.2667152684635
hsa-miR-154*	6.21275278614924
hsa-miR-155	8.85256497149601
hsa-miR-15a	9.72445165563026
hsa-miR-15b	11.6021871373570
hsa-miR-16	11.9141772102858
hsa-miR-17-3p	7.56954466776681
hsa-miR-17-5p	9.35452442785932
hsa-miR-181a	9.5768786602648
hsa-miR-181a*	7.04209870080187
hsa-miR-181b	9.59256157774031
hsa-miR-181c	7.75891553426525
hsa-miR-181d	8.71808332416832
hsa-miR-182	8.3078763355596
hsa-miR-182*	5.87432239491513
hsa-miR-183	6.83224734030628
hsa-miR-184	6.09196959204858
hsa-miR-185	9.13630422627275
hsa-miR-186	7.48562399929321
hsa-miR-187	5.94434932398847
hsa-miR-188	7.42261315339928
hsa-miR-189	5.90335263390531
hsa-miR-18a	7.9151899682228
hsa-miR-18a*	5.85692204746408
hsa-miR-18b	6.16931985393144
hsa-miR-190	5.77617037484333
hsa-miR-191	7.57820293178713
hsa-miR-191*	5.92784645919602
hsa-miR-192	6.82499937315805
hsa-miR-193a	7.50689057810863
hsa-miR-193b	8.61777750761071
hsa-miR-194	6.45707840612918
hsa-miR-195	11.1326343586395
hsa-miR-196a	6.92920805210524
hsa-miR-196b	6.28506006399174
hsa-miR-197	7.8387598526316
hsa-miR-198	7.54400528567603
hsa-miR-199a	8.39586494365326
hsa-miR-199a*	9.6326151693157
hsa-miR-199b	7.69975852983579
hsa-miR-19a	9.41469359037755
hsa-miR-19b	10.9206670809972
hsa-miR-200a	6.19503783512663
hsa-miR-200a*	6.24394925935798
hsa-miR-200b	6.606771535213
hsa-miR-200c	7.65466962949097
hsa-miR-202	7.93173736409663
hsa-miR-202*	5.74431403215337
hsa-miR-203	5.89590642792601
