Hybridization REF	TCGA-06-0190-01A-01T-0230-07
Composite Element REF	unc_DWD_Batch_adjusted
ebv-miR-BART1-3p	5.76086394002112
ebv-miR-BART1-5p	5.81280689801411
ebv-miR-BART10	5.81724791598123
ebv-miR-BART11-3p	6.002430932453
ebv-miR-BART11-5p	5.82174889934073
ebv-miR-BART12	5.8788865892613
ebv-miR-BART13	8.29737540151908
ebv-miR-BART14-3p	5.83399172883783
ebv-miR-BART14-5p	5.80001920823373
ebv-miR-BART15	5.76258923841206
ebv-miR-BART16	5.89434431780747
ebv-miR-BART17-3p	5.8967897289961
ebv-miR-BART17-5p	5.90361169863684
ebv-miR-BART18	5.75262460212128
ebv-miR-BART19	7.18320225289255
ebv-miR-BART2	5.85783063070279
ebv-miR-BART20-3p	5.76404506236608
ebv-miR-BART20-5p	5.73958870449738
ebv-miR-BART3-3p	5.72769735551264
ebv-miR-BART3-5p	5.7268225281802
ebv-miR-BART4	5.84153706734989
ebv-miR-BART5	5.82773172764314
ebv-miR-BART6-3p	5.75586497856517
ebv-miR-BART6-5p	5.71134204370021
ebv-miR-BART7	6.77394790624159
ebv-miR-BART8-3p	6.24116469095543
ebv-miR-BART8-5p	5.73012349329962
ebv-miR-BART9	5.84352699635394
ebv-miR-BHRF1-1	5.82316714586585
ebv-miR-BHRF1-2	5.78731206573438
ebv-miR-BHRF1-2*	5.79082376368362
ebv-miR-BHRF1-3	5.70198557780326
hcmv-miR-UL112	5.85945522253693
hcmv-miR-UL148D	5.91260477003486
hcmv-miR-UL22A	5.88696831220292
hcmv-miR-UL22A*	5.78772032107950
hcmv-miR-UL36	6.3155393092808
hcmv-miR-UL70-3p	8.09931385503965
hcmv-miR-UL70-5p	5.72536731675573
hcmv-miR-US25-1	6.11426805237572
hcmv-miR-US25-2-3p	5.83452716489441
hcmv-miR-US25-2-5p	5.86194537275081
hcmv-miR-US33	6.4960589211163
hcmv-miR-US4	7.47782005980114
hcmv-miR-US5-1	5.86519271580467
hcmv-miR-US5-2	5.7631500742342
hsa-let-7a	14.2655371379091
hsa-let-7b	14.5110325282479
hsa-let-7c	12.7208940997227
hsa-let-7d	12.1005738931269
hsa-let-7e	11.7290556036161
hsa-let-7f	12.4044425112310
hsa-let-7g	11.1984220550652
hsa-let-7i	10.9534522866656
hsa-miR-1	5.8672007432321
hsa-miR-100	10.5523894032112
hsa-miR-101	9.00262909416911
hsa-miR-103	10.6233706474233
hsa-miR-105	5.76389919672825
hsa-miR-106a	9.73222289951326
hsa-miR-106b	10.2384107864777
hsa-miR-107	10.6029814653398
hsa-miR-10a	6.6026791689032
hsa-miR-10b	7.82165976097384
hsa-miR-122a	5.81757670811392
hsa-miR-124a	6.21813694277631
hsa-miR-125a	10.5749031070688
hsa-miR-125b	12.9718156901459
hsa-miR-126	11.3038219683829
hsa-miR-126*	6.44147349745518
hsa-miR-127	9.75114258228056
hsa-miR-128a	6.43364716873807
hsa-miR-128b	6.5401832740061
hsa-miR-129	6.07372453112009
hsa-miR-130a	10.2939970329972
hsa-miR-130b	8.29125588489752
hsa-miR-132	7.84554521864845
hsa-miR-133a	6.21967178233371
hsa-miR-133b	6.31709512342669
hsa-miR-134	7.8299934300963
hsa-miR-135a	6.30777458673902
hsa-miR-135b	6.06343144547357
hsa-miR-136	7.44060268134449
hsa-miR-137	6.28221671243473
hsa-miR-138	6.51449195415
hsa-miR-139	6.18779421153985
hsa-miR-140	8.04937329603037
hsa-miR-141	6.05458796629293
hsa-miR-142-3p	9.00623162303199
hsa-miR-142-5p	7.76335569432035
hsa-miR-143	10.4989614816519
hsa-miR-144	6.7261552443691
hsa-miR-145	11.6185150485241
hsa-miR-146a	7.3161974269527
hsa-miR-146b	8.38989218292159
hsa-miR-147	5.76571590570512
hsa-miR-148a	9.29088939314958
hsa-miR-148b	7.89583982088993
hsa-miR-149	8.56044187843915
hsa-miR-150	6.46500695787483
hsa-miR-151	7.9754822790504
hsa-miR-152	7.93953811947746
hsa-miR-153	5.82178996392204
hsa-miR-154	6.78075811316444
hsa-miR-154*	6.40407011509621
hsa-miR-155	8.97678049198058
hsa-miR-15a	8.73683735845728
hsa-miR-15b	12.3846020894993
hsa-miR-16	11.3641030727128
hsa-miR-17-3p	7.85276950923534
hsa-miR-17-5p	8.80439369639696
hsa-miR-181a	10.2505503552313
hsa-miR-181a*	6.75055620292793
hsa-miR-181b	9.9092786377892
hsa-miR-181c	8.165390638827
hsa-miR-181d	8.54863183802336
hsa-miR-182	7.74741999599549
hsa-miR-182*	5.79744477569954
hsa-miR-183	6.34676144495167
hsa-miR-184	6.40295124063516
hsa-miR-185	8.72307814847705
hsa-miR-186	7.54344727652285
hsa-miR-187	6.25896671646114
hsa-miR-188	8.49310956836679
hsa-miR-189	5.92000359896859
hsa-miR-18a	7.65695812512777
hsa-miR-18a*	5.9566733859679
hsa-miR-18b	6.14675530477797
hsa-miR-190	5.82532375728217
hsa-miR-191	7.89262061220555
hsa-miR-191*	6.34845999996877
hsa-miR-192	6.83883451605709
hsa-miR-193a	8.30307170489522
hsa-miR-193b	9.22820533761865
hsa-miR-194	6.44949982124818
hsa-miR-195	10.6159631282156
hsa-miR-196a	6.06796653008155
hsa-miR-196b	6.044865398115
hsa-miR-197	7.64295455539331
hsa-miR-198	7.89471551657514
hsa-miR-199a	8.8549874286881
hsa-miR-199a*	10.5376355535861
hsa-miR-199b	7.34807374883118
hsa-miR-19a	8.2584756851717
hsa-miR-19b	9.9158156688358
hsa-miR-200a	5.98414163309056
hsa-miR-200a*	6.57523654960658
hsa-miR-200b	6.29852681248608
hsa-miR-200c	6.12424594065582
hsa-miR-202	8.39310724193044
hsa-miR-202*	5.72145351616544
hsa-miR-203	5.81586144391988
hsa-miR-204	9.54793102425149
hsa-miR-205	6.01235340679743
hsa-miR-206	6.03144145657753
hsa-miR-208	5.7285582143309
hsa-miR-20a	9.5319374142194
hsa-miR-20b	7.87076644435448
hsa-miR-21	14.3178405305674
hsa-miR-210	10.1943772081844
hsa-miR-211	5.87438363134168
