Hybridization REF	TCGA-12-3650-01A-01T-0919-07
Composite Element REF	unc_DWD_Batch_adjusted
ebv-miR-BART1-3p	5.74098743017959
ebv-miR-BART1-5p	5.7217225925397
ebv-miR-BART10	5.8259494856873
ebv-miR-BART11-3p	6.06863240512056
ebv-miR-BART11-5p	5.71996564582615
ebv-miR-BART12	5.78958413915229
ebv-miR-BART13	8.33688664708085
ebv-miR-BART14-3p	5.80729423103976
ebv-miR-BART14-5p	5.76759481227104
ebv-miR-BART15	5.74593571303544
ebv-miR-BART16	5.86449423069473
ebv-miR-BART17-3p	5.82419935007254
ebv-miR-BART17-5p	5.81812867800919
ebv-miR-BART18	5.78885221844973
ebv-miR-BART19	7.91889497013729
ebv-miR-BART2	5.80279546275512
ebv-miR-BART20-3p	5.71182578192717
ebv-miR-BART20-5p	5.77648188481266
ebv-miR-BART3-3p	5.71811115354396
ebv-miR-BART3-5p	5.74658474319926
ebv-miR-BART4	5.85063433980427
ebv-miR-BART5	5.79127245774332
ebv-miR-BART6-3p	5.73252874549996
ebv-miR-BART6-5p	5.73615731720948
ebv-miR-BART7	6.56100391814821
ebv-miR-BART8-3p	5.98428184066582
ebv-miR-BART8-5p	5.71778025223312
ebv-miR-BART9	5.77420966714799
ebv-miR-BHRF1-1	6.01702998524722
ebv-miR-BHRF1-2	5.75741988540321
ebv-miR-BHRF1-2*	5.78197407282798
ebv-miR-BHRF1-3	5.7165247746906
hcmv-miR-UL112	5.80340583606149
hcmv-miR-UL148D	6.1840840395857
hcmv-miR-UL22A	5.8858649917057
hcmv-miR-UL22A*	5.73228914307489
hcmv-miR-UL36	6.53614067106213
hcmv-miR-UL70-3p	7.42740292676831
hcmv-miR-UL70-5p	5.72336845162584
hcmv-miR-US25-1	6.08979287984446
hcmv-miR-US25-2-3p	5.8201830361181
hcmv-miR-US25-2-5p	6.08763058991196
hcmv-miR-US33	6.71031763039315
hcmv-miR-US4	6.95001727108496
hcmv-miR-US5-1	5.84064458218945
hcmv-miR-US5-2	5.71072525126608
hsa-let-7a	14.1269592887359
hsa-let-7b	14.0765736392773
hsa-let-7c	12.7983051138471
hsa-let-7d	11.6942620445062
hsa-let-7e	12.1334539543626
hsa-let-7f	12.6556961756227
hsa-let-7g	11.2398290303731
hsa-let-7i	10.7757364810772
hsa-miR-1	5.76514411581301
hsa-miR-100	10.5482767389315
hsa-miR-101	9.8176205671431
hsa-miR-103	10.245061093208
hsa-miR-105	5.77101331980669
hsa-miR-106a	9.7359438768224
hsa-miR-106b	10.8947786684189
hsa-miR-107	10.8014637149886
hsa-miR-10a	6.84521674883703
hsa-miR-10b	9.6967631929347
hsa-miR-122a	5.78681501346039
hsa-miR-124a	9.93112417502123
hsa-miR-125a	11.1315475897479
hsa-miR-125b	13.9244729363841
hsa-miR-126	11.9458880559715
hsa-miR-126*	6.80290189440802
hsa-miR-127	8.14462203841077
hsa-miR-128a	7.08228441384327
hsa-miR-128b	7.46334734391094
hsa-miR-129	6.48325298024096
hsa-miR-130a	10.6592989973033
hsa-miR-130b	9.14905678383738
hsa-miR-132	7.72160312478072
hsa-miR-133a	5.84457553125084
hsa-miR-133b	5.77327473249589
hsa-miR-134	6.80001961394937
hsa-miR-135a	7.02438650552817
hsa-miR-135b	8.29165738334854
hsa-miR-136	7.79396522717537
hsa-miR-137	7.53232281779672
hsa-miR-138	6.07515046070597
hsa-miR-139	6.77843386156737
hsa-miR-140	7.89695722961012
hsa-miR-141	6.01206063094576
hsa-miR-142-3p	9.51053649164652
hsa-miR-142-5p	7.65520265416151
hsa-miR-143	10.0305068871168
hsa-miR-144	6.33691947455168
hsa-miR-145	11.2230365243180
hsa-miR-146a	7.04967178818655
hsa-miR-146b	7.75885237796611
hsa-miR-147	5.79445237391057
hsa-miR-148a	7.26755322406559
hsa-miR-148b	7.33608564771547
hsa-miR-149	8.25018949493425
hsa-miR-150	6.54379345278773
hsa-miR-151	7.81740820063424
hsa-miR-152	7.0842100588674
hsa-miR-153	6.00712997524831
hsa-miR-154	6.281312177713
hsa-miR-154*	6.22295957865837
hsa-miR-155	8.5909534610223
hsa-miR-15a	10.0254707322323
hsa-miR-15b	11.3401380898015
hsa-miR-16	11.9371269665307
hsa-miR-17-3p	7.58429636077905
hsa-miR-17-5p	9.12970670419402
hsa-miR-181a	10.3154356312168
