Hybridization REF	TCGA-19-2619-01A-01T-0919-07
Composite Element REF	unc_DWD_Batch_adjusted
ebv-miR-BART1-3p	5.73589032185216
ebv-miR-BART1-5p	5.70653288987264
ebv-miR-BART10	5.76028989852889
ebv-miR-BART11-3p	6.24484706431685
ebv-miR-BART11-5p	5.74134942817792
ebv-miR-BART12	5.77496558958097
ebv-miR-BART13	8.0576699531203
ebv-miR-BART14-3p	5.80663497815458
ebv-miR-BART14-5p	5.79945899564247
ebv-miR-BART15	5.73085429574562
ebv-miR-BART16	5.84601600722562
ebv-miR-BART17-3p	5.80727742909996
ebv-miR-BART17-5p	5.80389861630823
ebv-miR-BART18	5.70707984513778
ebv-miR-BART19	7.67351528803715
ebv-miR-BART2	5.8894115668341
ebv-miR-BART20-3p	5.72871745300745
ebv-miR-BART20-5p	5.73061138717002
ebv-miR-BART3-3p	5.71084124770291
ebv-miR-BART3-5p	5.7576604838887
ebv-miR-BART4	5.80781072841899
ebv-miR-BART5	5.78519973803441
ebv-miR-BART6-3p	5.70510801301793
ebv-miR-BART6-5p	5.74814717137371
ebv-miR-BART7	6.32743025145796
ebv-miR-BART8-3p	6.00659675610961
ebv-miR-BART8-5p	5.71455331089631
ebv-miR-BART9	5.7895194245317
ebv-miR-BHRF1-1	5.96809917288088
ebv-miR-BHRF1-2	5.7392128964287
ebv-miR-BHRF1-2*	5.7819226593583
ebv-miR-BHRF1-3	5.69746319413049
hcmv-miR-UL112	5.76638443313994
hcmv-miR-UL148D	6.25171320459686
hcmv-miR-UL22A	5.90347041351305
hcmv-miR-UL22A*	5.70382110245218
hcmv-miR-UL36	6.54982623523484
hcmv-miR-UL70-3p	6.72553154478217
hcmv-miR-UL70-5p	5.71812596100068
hcmv-miR-US25-1	6.01758216621466
hcmv-miR-US25-2-3p	5.75566752376655
hcmv-miR-US25-2-5p	6.05893977832523
hcmv-miR-US33	6.85934862836783
hcmv-miR-US4	6.79755596342077
hcmv-miR-US5-1	5.87735480456532
hcmv-miR-US5-2	5.71980214034296
hsa-let-7a	14.1495653500392
hsa-let-7b	13.7480422684273
hsa-let-7c	12.4024506414277
hsa-let-7d	11.6242758034697
hsa-let-7e	11.5901294950304
hsa-let-7f	13.2330197628239
hsa-let-7g	11.2987324255386
hsa-let-7i	11.17808103598
hsa-miR-1	6.02297768855665
hsa-miR-100	10.5201515737443
hsa-miR-101	10.1901974201120
hsa-miR-103	10.2377522967215
hsa-miR-105	5.72420050596748
hsa-miR-106a	9.95974784969188
hsa-miR-106b	10.2906043979585
hsa-miR-107	10.6199843799292
hsa-miR-10a	6.80930650700101
hsa-miR-10b	9.39569930043725
hsa-miR-122a	5.75337197454823
hsa-miR-124a	8.48497967460018
hsa-miR-125a	10.6281913391822
hsa-miR-125b	14.0612339894312
hsa-miR-126	12.5396933922604
hsa-miR-126*	7.84034089293837
hsa-miR-127	8.20784431530457
hsa-miR-128a	6.87712246708718
hsa-miR-128b	7.21047870298621
hsa-miR-129	6.19839947001087
hsa-miR-130a	10.7538315100338
hsa-miR-130b	8.388781378686
hsa-miR-132	8.15540511897836
hsa-miR-133a	6.07710391695807
hsa-miR-133b	6.07791370456679
hsa-miR-134	6.84220949446418
hsa-miR-135a	7.77442383961589
hsa-miR-135b	6.61579977916442
hsa-miR-136	8.1773669320781
hsa-miR-137	6.70954221255898
hsa-miR-138	7.35558376829574
hsa-miR-139	6.2008988596253
hsa-miR-140	8.15477975414649
hsa-miR-141	6.10080191557469
hsa-miR-142-3p	10.6056414162857
hsa-miR-142-5p	8.28859072730102
hsa-miR-143	10.8633380242219
hsa-miR-144	8.425282581653
hsa-miR-145	11.5466798026087
hsa-miR-146a	7.56756827166848
hsa-miR-146b	9.2044730841629
hsa-miR-147	5.71450382236582
hsa-miR-148a	9.32665598941997
hsa-miR-148b	7.40980503018894
hsa-miR-149	8.30969123382709
hsa-miR-150	6.91503633129288
hsa-miR-151	7.0953792794685
hsa-miR-152	7.99646215006735
hsa-miR-153	6.00528923179724
hsa-miR-154	6.40771706975165
hsa-miR-154*	6.52844911059015
hsa-miR-155	8.88763237867314
hsa-miR-15a	9.98277172533948
hsa-miR-15b	11.2755700241570
hsa-miR-16	12.0776784122621
hsa-miR-17-3p	7.65404816010938
hsa-miR-17-5p	9.29152743946942
hsa-miR-181a	9.76137208942223
hsa-miR-181a*	6.79101488872876
hsa-miR-181b	9.409906009819
hsa-miR-181c	7.58855356594189
hsa-miR-181d	8.64211448021399
hsa-miR-182	6.16395337562964
hsa-miR-182*	5.87313506684829
hsa-miR-183	5.4206762297115
hsa-miR-184	6.21099569678317
hsa-miR-185	8.49305315675182
hsa-miR-186	7.25855618097104
hsa-miR-187	5.85825447055423
hsa-miR-188	6.97783707071318
hsa-miR-189	5.79501118655876
hsa-miR-18a	7.80906202748405
hsa-miR-18a*	5.92967119724958
hsa-miR-18b	6.36673190445568
hsa-miR-190	6.12612018201155
hsa-miR-191	8.03406915159203
hsa-miR-191*	5.91059863226183
hsa-miR-192	7.16291327333692
hsa-miR-193a	7.26932163304245
hsa-miR-193b	8.67111115591656
hsa-miR-194	6.8007143152191
hsa-miR-195	11.3185951800589
hsa-miR-196a	7.03530684810827
hsa-miR-196b	6.0087707821404
hsa-miR-197	6.91611429426496
hsa-miR-198	7.2156755144451
hsa-miR-199a	7.12713868546993
hsa-miR-199a*	8.02406638066668
hsa-miR-199b	6.30646182814634
hsa-miR-19a	9.47134441181597
hsa-miR-19b	10.9725343706871
hsa-miR-200a	6.1894017585144
hsa-miR-200a*	6.50439905068932
hsa-miR-200b	6.203213706046
hsa-miR-200c	6.0933461642264
hsa-miR-202	8.53520046135643
hsa-miR-202*	5.73294801744656
hsa-miR-203	5.88322889306273
hsa-miR-204	8.70458495743627
hsa-miR-205	6.00094447524765
hsa-miR-206	5.94125873479818
hsa-miR-208	5.72569314437517
hsa-miR-20a	10.6369967683316
hsa-miR-20b	8.86267796170305
hsa-miR-21	14.68696644363
hsa-miR-210	8.423483451061
hsa-miR-211	5.77918156826196
hsa-miR-212	9.1446009209505
hsa-miR-214	7.28745241476187
hsa-miR-215	6.76665772020424
hsa-miR-216	5.74294645516514
hsa-miR-217	5.74147686797452
hsa-miR-218	6.4527642815259
hsa-miR-219	8.26840796364047
hsa-miR-22	11.3261455128233
hsa-miR-220	5.75418026083985
hsa-miR-221	7.87368252959234
hsa-miR-222	9.4771772528666
hsa-miR-223	11.3035420533945
hsa-miR-224	5.87194002883805
