Hybridization REF	TCGA-28-1747-01C-01T-0792-07
Composite Element REF	unc_DWD_Batch_adjusted
hsa-miR-221	7.96702510623484
hsa-miR-222	9.78955455757313
hsa-miR-223	8.98059685430876
hsa-miR-224	5.82540156131202
hsa-miR-23a	10.1762611730276
hsa-miR-23b	10.8799711553361
hsa-miR-24	11.4356783227772
hsa-miR-25	10.0976292163235
hsa-miR-26a	11.7921698211613
hsa-miR-26b	8.30397765670942
hsa-miR-27a	10.0908795920227
hsa-miR-27b	9.8099288701511
hsa-miR-28	7.77224249426531
hsa-miR-296	7.04453670446511
hsa-miR-299-3p	6.15579397953819
hsa-miR-299-5p	6.25966080000038
hsa-miR-29a	11.7981768608327
hsa-miR-29b	10.1657776546548
hsa-miR-29c	9.76501087965502
hsa-miR-301	8.70876086901037
hsa-miR-302a	5.8582439908888
hsa-miR-302a*	5.80684466702666
hsa-miR-302b	5.84954754328734
hsa-miR-302b*	5.79578079584893
hsa-miR-302c	5.82755803388805
hsa-miR-302c*	6.03464721765593
hsa-miR-302d	5.80848377858964
hsa-miR-30a-3p	8.34380510080376
hsa-miR-30a-5p	11.8472451463494
hsa-miR-30b	7.7550807893409
hsa-miR-30c	9.70857572352175
hsa-miR-30d	10.3565915506355
hsa-miR-30e-3p	7.8575716973408
hsa-miR-30e-5p	8.10284162238213
hsa-miR-31	6.39929121962285
hsa-miR-32	7.0028096881693
hsa-miR-320	10.4172696367520
hsa-miR-323	6.28421918045102
hsa-miR-324-3p	9.88196489279674
hsa-miR-324-5p	8.70867472189447
hsa-miR-325	5.78237919048024
hsa-miR-326	6.01693095709446
hsa-miR-328	6.43644059755566
hsa-miR-329	6.05012056583889
hsa-miR-33	8.03361436355343
hsa-miR-330	7.31646631353305
hsa-miR-331	10.3942214303642
hsa-miR-335	6.73495292591163
hsa-miR-337	5.86142459118811
hsa-miR-338	11.3334901528024
hsa-miR-339	7.94774212272999
hsa-miR-33b	5.79028810533419
hsa-miR-340	7.07940341996908
hsa-miR-342	9.21524071225674
hsa-miR-345	7.14104132174567
hsa-miR-346	5.98947122760131
hsa-miR-34a	10.2634171610119
hsa-miR-34b	7.99023946985629
hsa-miR-34c	5.99349339257174
hsa-miR-361	9.18238334959965
hsa-miR-362	6.98132495419881
hsa-miR-363	8.92765902722334
hsa-miR-363*	5.75110875446975
hsa-miR-365	6.6287042414701
hsa-miR-367	5.93452674556795
hsa-miR-368	5.69796965173455
hsa-miR-369-3p	5.77649040032527
hsa-miR-369-5p	5.85596922292312
hsa-miR-370	10.1584310524913
hsa-miR-371	5.88750144320402
hsa-miR-372	5.76907327880946
hsa-miR-373	6.04178971900529
hsa-miR-373*	6.33873885972844
hsa-miR-374	7.91464705114231
hsa-miR-375	5.77258701841953
hsa-miR-376a	6.75943432048802
hsa-miR-376a*	5.79498942143916
hsa-miR-376b	5.52484081238922
hsa-miR-377	6.95157194244481
hsa-miR-378	5.77007007137448
hsa-miR-379	7.04697603696862
hsa-miR-380-3p	5.83001220520033
hsa-miR-380-5p	5.7524709419527
hsa-miR-381	6.29261533290423
hsa-miR-382	6.434266763266
hsa-miR-383	6.08410661710759
hsa-miR-384	5.78078722059543
hsa-miR-409-3p	6.8444243973998
hsa-miR-409-5p	5.81064371433915
hsa-miR-410	7.26083546440749
hsa-miR-411	5.8563381090983
hsa-miR-412	5.72227376194006
hsa-miR-421	7.13696969987882
hsa-miR-422a	5.99302706187976
hsa-miR-422b	7.40655661842218
hsa-miR-423	6.32883471191654
hsa-miR-424	8.34630166921445
hsa-miR-425-3p	5.97477120604614
hsa-miR-425-5p	8.27887350681642
hsa-miR-429	5.77775844344325
hsa-miR-431	6.11329287689689
hsa-miR-432	6.97849487949333
hsa-miR-432*	5.79056570290823
hsa-miR-433	5.85860467892347
hsa-miR-448	5.80385840989726
hsa-miR-449	5.90707951717075
hsa-miR-449b	5.82244457429673
hsa-miR-450	6.10262735080842
hsa-miR-451	8.19971759272126
hsa-miR-452	7.05822469260335
hsa-miR-452*	5.7507347811203
hsa-miR-453	5.86917987197014
hsa-miR-454-3p	6.82754635377326
hsa-miR-454-5p	5.946693400126
hsa-miR-455	6.61495488999891
hsa-miR-483	6.33583675639287
hsa-miR-484	7.22384221301848
hsa-miR-485-3p	6.30374598652232
hsa-miR-485-5p	5.98502219055895
hsa-miR-486	6.89052043692375
hsa-miR-487a	6.78234595783032
hsa-miR-487b	8.71709066671515
hsa-miR-488	6.48519742672563
hsa-miR-489	5.92901809202724
hsa-miR-490	6.01473295288013
hsa-miR-491	7.06711580646612
hsa-miR-492	5.98756699882668
hsa-miR-493-3p	6.39406230116287
hsa-miR-493-5p	5.79881706685792
hsa-miR-494	8.77778687939792
hsa-miR-495	6.02953379061558
hsa-miR-496	5.78037238900338
hsa-miR-497	8.58389655505773
hsa-miR-498	6.2731574649101
hsa-miR-499	5.89032007550145
hsa-miR-500	6.53333581191447
hsa-miR-501	6.04504385185634
hsa-miR-502	6.26675750167848
hsa-miR-503	6.2339377833835
hsa-miR-504	6.04724447031465
hsa-miR-505	5.96832894451173
hsa-miR-506	5.86306472131066
hsa-miR-507	5.83513021869304
hsa-miR-508	5.86952606681278
hsa-miR-509	6.37787974692518
hsa-miR-510	5.96875793777358
hsa-miR-511	5.74125427580153
hsa-miR-512-3p	6.35378324742176
hsa-miR-512-5p	5.80245110668303
hsa-miR-513	7.48671462587235
hsa-miR-514	5.79763481295711
hsa-miR-515-3p	5.8551130504779
hsa-miR-515-5p	5.76799203922489
hsa-miR-516-3p	5.79323278644265
hsa-miR-516-5p	5.89508387202991
hsa-miR-517*	5.83395643074571
hsa-miR-517a	5.91150160892865
hsa-miR-517b	5.82321402562095
hsa-miR-517c	5.78863849337997
hsa-miR-518a	5.83537750385699
hsa-miR-518b	5.79093270093768
hsa-miR-518c	5.77642195051214
hsa-miR-518c*	6.13978993649323
hsa-miR-518d	5.84371784575073
hsa-miR-518e	5.76565380079292
hsa-miR-518f	5.73760491769481
hsa-miR-518f*	5.98796391887132
hsa-miR-519a	5.79653289569946
hsa-miR-519b	5.8171413904282
hsa-miR-519c	5.79550083523135
hsa-miR-519d	5.83797793515144
hsa-miR-519e	5.90435128666721
hsa-miR-519e*	6.49237421354117
hsa-miR-520a	5.82977970587948
hsa-miR-520a*	5.8248739532156
hsa-miR-520b	5.99629327615829
hsa-miR-520c	5.83693480081017
hsa-miR-520d	5.95164977257421
hsa-miR-520d*	6.66395330498955
hsa-miR-520e	6.00539556698278
hsa-miR-520f	5.7938699225909
hsa-miR-520g	5.79848779619033
hsa-miR-520h	5.7555928795548
hsa-miR-521	5.82292870886267
hsa-miR-522	5.87841959018935
hsa-miR-523	5.82508542257127
hsa-miR-524	5.76765456392473
hsa-miR-524*	5.91264261803962
hsa-miR-525	5.8767977638688
hsa-miR-525*	5.78088990107945
hsa-miR-526a	5.99175247065418
hsa-miR-526b	5.9680725273083
hsa-miR-526b*	5.82823952697167
hsa-miR-526c	5.86319825110041
hsa-miR-527	6.59436235441345
